Date,GOOGL,AAPL,MSFT
2025-09-29,244.05,254.43,514.60
2025-09-30,243.10,254.63,517.95
2025-10-01,244.90,255.45,519.71
2025-10-02,245.69,257.13,515.74
2025-10-03,245.35,258.02,517.35
2025-10-06,250.43,256.69,528.57
2025-10-07,245.76,256.48,523.98
2025-10-08,244.62,258.06,524.85
2025-10-09,241.53,254.04,522.40
2025-10-10,236.57,245.27,510.96
2025-10-13,244.15,247.66,514.05
2025-10-14,245.45,247.77,513.57
2025-10-15,251.03,249.34,513.43
2025-10-16,251.46,247.45,511.61
2025-10-17,253.30,252.29,513.58
2025-10-20,256.55,262.24,516.79
2025-10-21,250.46,262.77,517.66
2025-10-22,251.69,258.45,520.54
2025-10-23,253.08,259.58,520.56
2025-10-24,259.92,262.82,523.61
2025-10-27,269.27,268.81,531.52
2025-10-28,267.47,269.00,542.07
2025-10-29,274.57,269.70,541.55
2025-10-30,281.48,271.40,525.76
2025-10-31,281.19,270.37,517.81
2025-11-03,283.72,269.05,517.03
2025-11-04,277.54,270.04,514.33
2025-11-05,284.31,270.14,507.16
2025-11-06,284.75,269.77,497.10
2025-11-07,278.83,268.47,496.82
2025-11-10,290.10,269.43,506.00
2025-11-11,291.31,275.25,508.68
2025-11-12,286.71,273.47,511.14
2025-11-13,278.57,272.95,503.29
2025-11-14,276.41,272.41,510.18
2025-11-17,285.02,267.46,507.49
2025-11-18,284.28,267.44,493.79
2025-11-19,292.81,268.56,487.12
2025-11-20,289.45,266.25,478.43
2025-11-21,299.66,271.49,472.12
2025-11-24,318.58,275.92,474.00
2025-11-25,323.44,276.97,476.99
2025-11-26,319.95,277.55,485.50
2025-11-28,320.18,278.85,492.01
2025-12-01,314.89,283.10,486.74
2025-12-02,315.81,286.19,490.00
2025-12-03,319.63,284.15,477.73
2025-12-04,317.62,280.70,480.84
2025-12-05,321.27,278.78,483.16
2025-12-08,313.72,277.89,491.02
2025-12-09,317.08,277.18,492.02
2025-12-10,320.21,278.78,478.56
2025-12-11,312.43,278.03,483.47
2025-12-12,309.29,278.28,478.53
2025-12-15,308.22,274.11,474.82
2025-12-16,306.57,274.61,476.39
2025-12-17,296.72,271.84,476.12
2025-12-18,302.46,272.19,483.98
2025-12-19,307.16,273.67,485.92
2025-12-22,309.78,270.97,484.92
2025-12-23,314.35,272.36,486.85
2025-12-24,314.09,273.81,488.02
2025-12-26,313.51,273.40,487.71
2025-12-29,313.56,273.76,487.10
2025-12-30,313.85,273.08,487.48
2025-12-31,313.00,271.86,483.62
2026-01-02,315.15,271.01,472.94
2026-01-05,316.54,267.26,472.85
2026-01-06,314.34,262.36,478.51
2026-01-07,321.98,260.33,483.47
2026-01-08,325.44,259.04,478.11
2026-01-09,328.57,259.37,479.28
2026-01-12,331.86,260.25,477.18
2026-01-13,335.97,261.05,470.67
