simulation_id,mean_daily_return,estimated_se,ci_lower,ci_upper,covers_trus_mean,t_statistic,p_value,reject_null,sample_sharpe
117,0.0012778098619723277,0.0006770023109281584,-5.5519263139784236e-05,0.0026111389870844396,True,1.887452732946321,0.060253185955062995,False,1.887452732946321
118,-0.00040023974961170814,0.0006212943333679565,-0.001623854228579885,0.0008233747293564686,True,-0.644203122603839,0.5200319728470864,False,-0.6442031226038392
119,-3.23585842511894e-05,0.0006542845827918904,-0.0013209460473460213,0.0012562288788436425,True,-0.04945643700347094,0.9605948844901853,False,-0.049456437003470945
120,-0.00034706390493514705,0.0005733425252732138,-0.0014762392050372242,0.00078211139516693,True,-0.6053343152415938,0.5455038030808005,False,-0.6053343152415936
121,0.0011823732856284512,0.000605713944518347,-1.0556237175726865e-05,0.002375302808432629,True,1.952032467353304,0.05204627649728258,False,1.952032467353304
122,0.00021168308157994164,0.0006073072387933834,-0.0009843843709291852,0.0014077505340890685,True,0.34856011596456526,0.7277117609771697,False,0.34856011596456526
123,0.000594860368741935,0.0005987992700184931,-0.0005844509776505773,0.0017741717151344473,True,0.993422000537114,0.3214610589453086,False,0.993422000537114
124,-0.00043965759509350603,0.0006343874343380614,-0.0016890584156733397,0.0008097432254863276,True,-0.6930427232567392,0.48892349928413475,False,-0.6930427232567393
125,0.0006985655257497942,0.0006228142622083324,-0.0005280423926177143,0.001925173444117303,True,1.1216273745448093,0.2630927880070301,False,1.1216273745448093
126,-0.0006153138318089361,0.0006888347399833159,-0.001971946455336637,0.0007413187917187645,True,-0.8932677115324344,0.3725694703529905,False,-0.8932677115324344
127,-0.00045828583986178467,0.0006650522292453825,-0.0017680797543875848,0.0008515080746640156,True,-0.6890975170202642,0.4913984018075846,False,-0.6890975170202642
128,0.0008079254143645426,0.0006228860077079789,-0.00041882380391100225,0.0020346746326400872,True,1.297067849280239,0.1957988352505089,False,1.297067849280239
129,0.00011654615390035793,0.0006177896980254333,-0.0011001660851497942,0.00133325839295051,True,0.18865020616701822,0.8505194208053259,False,0.18865020616701822
130,0.0008466516794807283,0.0006322557448647699,-0.00039855086346466425,0.0020918542224261207,True,1.3390968549630409,0.18175054872652374,False,1.339096854963041
131,3.71556717755479e-05,0.0006456864118601092,-0.001234498035642263,0.0013088093791933585,True,0.05754445361256548,0.9541572793498736,False,0.05754445361256548
132,0.0008240341008654293,0.0006416644346026102,-0.0004396984823089357,0.002087766684039794,True,1.2842134555513625,0.200251356628023,False,1.2842134555513625
133,0.0007157816465692793,0.0006028821458401193,-0.00047157076136662235,0.001903134054505181,True,1.1872662866335744,0.23624498925046628,False,1.1872662866335741
